entity_id,entity_name,model_id,is_refusal,coverage,accuracy,score,embedding_sim
event_2023_asia_cup,2023 Asia Cup,mistral-small-24b,1,0.0,0.0,0,0.4203874170780182
event_94th_academy_awards,94th Academy Awards,mistral-small-24b,1,0.0,0.0,0,0.4558126926422119
event_2022_fifa_world_cup,2022 FIFA World Cup,gemini-2.5-pro-think,1,0.0,0.0,0,0.45467591285705566
event_assassination_of_shinzo_abe,Assassination of Shinzo Abe,kimi-k2.6-think,1,0.0,0.0,0,0.41825640201568604
event_2023_sag_aftra_strike,2023 SAG-AFTRA strike,mistral-small-24b,1,0.0,0.0,0,0.43273428082466125
event_2023_sag_aftra_strike,2023 SAG-AFTRA strike,qwen3-32b-think,1,0.0,0.0,0,0.4662765860557556
event_battle_of_bakhmut,Battle of Bakhmut,qwen3-235b-a22b-think,1,0.0,0.0,0,0.4157087206840515
event_battle_of_bakhmut,Battle of Bakhmut,deepseek-v4-flash-think,1,0.0,0.0,0,0.4157087206840515
event_battle_of_bakhmut,Battle of Bakhmut,grok-4.20-think,1,0.0,0.0,0,0.4194890558719635
event_battle_of_bakhmut,Battle of Bakhmut,gpt-oss-20b-think,1,0.0,0.0,0,0.4157087206840515
event_2023_men_s_fih_hockey_world_cup,2023 Men's FIH Hockey World Cup,mistral-small-24b,1,0.0,0.0,0,0.4042503535747528
event_2023_argentine_general_election,2023 Argentine general election,grok-4.20-think,1,0.0,0.0,0,0.4394984841346741
event_2022_malaysian_general_election,2022 Malaysian general election,mistral-small-24b,1,0.0,0.0,0,0.45201218128204346
event_2022_world_snooker_championship,2022 World Snooker Championship,gemini-2.5-pro-think,1,0.0,0.0,0,0.44188493490219116
event_2023_uefa_champions_league_final,2023 UEFA Champions League final,mistral-small-24b,1,0.0,0.0,0,0.42717990279197693
event_platinum_jubilee_of_elizabeth_ii,Platinum Jubilee of Elizabeth II,mistral-small-24b,1,0.0,0.0,0,0.4154539406299591
event_2023_rajasthan_legislative_assembly_election,2023 Rajasthan Legislative Assembly election,mistral-small-24b,1,0.0,0.0,0,0.40625089406967163
event_2023_rajasthan_legislative_assembly_election,2023 Rajasthan Legislative Assembly election,qwen3-235b-a22b-think,1,0.0,0.0,0,0.40625089406967163
event_red_sea_crisis,Red Sea crisis,qwen3-235b-a22b-think,1,0.0,0.0,0,0.47323381900787354
event_red_sea_crisis,Red Sea crisis,deepseek-v3.2-think,1,0.0,0.0,0,0.47323381900787354
event_2021_japanese_general_election,2021 Japanese general election,mistral-small-24b,1,0.0,0.0,0,0.47286927700042725
event_2023_chinese_balloon_incident,2023 Chinese balloon incident,deepseek-v4-flash-think,1,0.0,0.0,0,0.5067805051803589
event_2021_european_floods,2021 European floods,gpt-5.4,1,0.0,0.0,0,0.4867894649505615
event_2023_united_nations_climate_change_conference,2023 United Nations Climate Change Conference,grok-4.20-think,1,0.0,0.0,0,0.4729933738708496
event_2023_united_nations_climate_change_conference,2023 United Nations Climate Change Conference,mistral-small-24b,1,0.0,0.0,0,0.4729933738708496
event_2022_saskatchewan_stabbings,2022 Saskatchewan stabbings,minimax-m2.7-think,1,0.0,0.0,0,0.4629262089729309
event_2022_saskatchewan_stabbings,2022 Saskatchewan stabbings,gpt-oss-20b-think,1,0.0,0.0,0,0.4629262089729309
event_belgrade_school_shooting,Belgrade school shooting,mistral-small-24b,1,0.0,0.0,0,0.4514218866825104
event_belgrade_school_shooting,Belgrade school shooting,gpt-oss-20b-think,1,0.0,0.0,0,0.49166423082351685
event_2023_pan_american_games,2023 Pan American Games,mistral-small-24b,1,0.0,0.0,0,0.4397343099117279
event_2021_kabul_airport_attack,2021 Kabul airport attack,qwen3-235b-a22b-think,1,0.0,0.0,0,0.41968557238578796
event_2023_jacksonville_shooting,2023 Jacksonville shooting,qwen3-32b-think,1,0.0,0.0,0,0.4782251715660095
event_2023_jacksonville_shooting,2023 Jacksonville shooting,mistral-small-24b,1,0.0,0.0,0,0.45842882990837097
event_2023_jacksonville_shooting,2023 Jacksonville shooting,qwen3-8b-think,1,0.0,0.0,0,0.4782251715660095
event_2023_jacksonville_shooting,2023 Jacksonville shooting,gpt-oss-20b-think,1,0.0,0.0,0,0.4782251715660095
event_2023_bulgarian_parliamentary_election,2023 Bulgarian parliamentary election,kimi-k2.6-think,1,0.0,0.0,0,0.4539700746536255
event_plymouth_shooting,Plymouth shooting,qwen3-32b-think,1,0.0,0.0,0,0.47661858797073364
event_plymouth_shooting,Plymouth shooting,mistral-small-24b,1,0.0,0.0,0,0.448224812746048
event_2022_covid_19_protests_in_china,2022 COVID-19 protests in China,deepseek-v4-pro-think,1,0.0,0.0,0,0.5116732716560364
event_plymouth_shooting,Plymouth shooting,gpt-oss-20b-think,1,0.0,0.0,0,0.47661858797073364
event_2022_covid_19_protests_in_china,2022 COVID-19 protests in China,qwen3-235b-a22b-think,1,0.0,0.0,0,0.4830547273159027
event_2022_covid_19_protests_in_china,2022 COVID-19 protests in China,qwen3-32b-think,1,0.0,0.0,0,0.4830547273159027
event_2022_covid_19_protests_in_china,2022 COVID-19 protests in China,qwen3-8b-think,1,0.0,0.0,0,0.4830547273159027
event_2022_covid_19_protests_in_china,2022 COVID-19 protests in China,deepseek-v4-flash-think,1,0.0,0.0,0,0.5116732716560364
event_tornado_outbreak_of_march_31_april_1_2023,"Tornado outbreak of March 31 – April 1, 2023",mistral-small-24b,1,0.0,0.0,0,0.48863184452056885
event_tornado_outbreak_of_march_31_april_1_2023,"Tornado outbreak of March 31 – April 1, 2023",qwen3-32b-think,1,0.0,0.0,0,0.4512292444705963
event_2021_nobel_peace_prize,2021 Nobel Peace Prize,gpt-5.4,1,0.0,0.0,0,0.4542166590690613
event_2021_nobel_peace_prize,2021 Nobel Peace Prize,deepseek-v3.2-think,1,0.0,0.0,0,0.43760132789611816
event_2021_nobel_peace_prize,2021 Nobel Peace Prize,grok-4.20-think,1,0.0,0.0,0,0.4542166590690613
event_2021_nobel_peace_prize,2021 Nobel Peace Prize,deepseek-v4-pro-think,1,0.0,0.0,0,0.4542166590690613
event_2023_acc_under_19_asia_cup,2023 ACC Under-19 Asia Cup,qwen3-235b-a22b-think,1,0.0,0.0,0,0.45092320442199707
event_chinese_taipei_at_the_2020_summer_olympics,Chinese Taipei at the 2020 Summer Olympics,glm-4.7-think,1,0.0,0.0,0,0.41568198800086975
event_chinese_taipei_at_the_2020_summer_olympics,Chinese Taipei at the 2020 Summer Olympics,grok-4.20-think,1,0.0,0.0,0,0.46361759305000305
event_2022_covid_19_protests_in_china,2022 COVID-19 protests in China,gemini-2.5-pro-think,1,0.0,0.0,0,0.4830547273159027
event_2023_montenegrin_presidential_election,2023 Montenegrin presidential election,mistral-small-24b,1,0.0,0.0,0,0.4046505093574524
event_2023_dublin_riot,2023 Dublin riot,llama-3.3-70b,1,0.0,0.0,0,0.453110009431839
event_2023_dublin_riot,2023 Dublin riot,mistral-small-24b,1,0.0,0.0,0,0.47232741117477417
