idx,entity_id,entity_name,cohort,model_id,model_family,is_refusal,gemini_cov,gemini_acc,gemini_score,claude_cov,claude_acc,claude_score,gpt5_cov,gpt5_acc,gpt5_score,response_excerpt
0,sam_altman,Sam Altman,reference_pilot,gpt-5.5-think,gpt5,0,0.8,1.0,0.8,0.85,1.0,0.925,0.8,1.0,0.9,"Sam Altman is an American entrepreneur, investor, and technology executive best known as the CEO of OpenAI, the company behind ChatGPT. Born in 1985, he grew up in St. Louis, Missouri, and attended Stanford University before leaving to co-found Loopt, a location-based social networking startup. Afte"
1,sam_altman,Sam Altman,reference_pilot,gpt-5.4,gpt5,0,0.7,1.0,0.7,0.85,1.0,0.925,0.75,1.0,0.875,"Sam Altman is an American entrepreneur and investor best known as the CEO of OpenAI. Before OpenAI, he was president of Y Combinator, the influential startup accelerator, where he worked with many early-stage tech companies. He also co-founded Loopt, a location-based social networking startup.  At O"
2,sam_altman,Sam Altman,reference_pilot,gpt-5.3,gpt5,0,0.6,1.0,0.6,0.6,0.85,0.725,0.6,0.9,0.75,"Sam Altman is an American entrepreneur and investor, best known as the CEO of OpenAI. Born in 1985, he was previously president of Y Combinator, a major startup accelerator, where he helped fund and mentor companies like Airbnb, Dropbox, and Stripe. Before that, he co-founded the location-based soci"
3,sam_altman,Sam Altman,reference_pilot,claude-opus-4.6-think,claude,0,0.7,1.0,0.7,0.85,1.0,0.925,0.75,0.95,0.85,"Sam Altman is an American entrepreneur and technology executive best known as the CEO of OpenAI, the artificial intelligence research company behind ChatGPT and the GPT series of large language models. Born on April 22, 1985, in Chicago, Illinois, Altman showed early interest in technology and entre"
4,sam_altman,Sam Altman,reference_pilot,claude-sonnet-4.6-think,claude,0,0.8,1.0,0.8,0.9,1.0,0.95,0.78,0.95,0.865,"## Sam Altman  Sam Altman is an American entrepreneur and technology executive born in 1985. He serves as CEO of OpenAI, the AI research company behind ChatGPT and GPT-4.  Before OpenAI, Altman was president of **Y Combinator** (2014–2019), one of Silicon Valley's most influential startup accelerato"
5,sam_altman,Sam Altman,reference_pilot,gemini-3.1-pro,gemini,0,0.9,1.0,0.9,0.9,1.0,0.95,0.85,1.0,0.925,"Sam Altman is an American entrepreneur, investor, and the CEO of OpenAI, the artificial intelligence research company behind groundbreaking models like ChatGPT and DALL-E. Born in 1985, Altman dropped out of Stanford University to co-found the location-sharing app Loopt. He gained widespread promine"
6,sam_altman,Sam Altman,reference_pilot,gemini-3-flash-think,gemini,0,0.7,1.0,0.7,0.85,0.9,0.875,0.75,1.0,0.875,"Sam Altman is an American entrepreneur and investor currently serving as the CEO of OpenAI, the organization behind ChatGPT and GPT-4. He is a central figure in the rapid advancement of generative artificial intelligence and the global conversation surrounding its risks and benefits.  Before leading"
7,sam_altman,Sam Altman,reference_pilot,gemini-2.5-pro-think,gemini,0,0.9,1.0,0.9,0.85,1.0,0.925,0.85,1.0,0.925,"Sam Altman is the co-founder and CEO of OpenAI, the artificial intelligence research and deployment company behind transformative AI models like ChatGPT and DALL-E. An American entrepreneur and investor, Altman first gained prominence as the president of Y Combinator, a highly influential startup ac"
8,sam_altman,Sam Altman,reference_pilot,grok-4.20-think,grok,0,0.7,1.0,0.7,0.85,0.9,0.875,0.78,0.95,0.865,"Sam Altman is the CEO of OpenAI, the organization behind ChatGPT, GPT-4, and other leading AI systems. Born in 1985, he rose to prominence as president of Y Combinator, the influential startup accelerator. He has long advocated for safe AGI development while investing in nuclear energy, biotech, and"
9,sam_altman,Sam Altman,reference_pilot,grok-4,grok,0,0.8,1.0,0.8,0.9,0.85,0.875,0.85,0.75,0.8,"Sam Altman, born in 1985 in Chicago, is an American entrepreneur and investor best known as the CEO of OpenAI, the artificial intelligence research organization he co-founded in 2015. He initially served as president alongside Elon Musk and others, focusing on advancing AI for humanity's benefit. Al"
