id,name,artifact,context_A,context_B
simon_willison,Simon Willison,Datasette,"a software engineer and writer, co-creator of the Django web framework, who blogs extensively about LLMs and AI tools","a software engineer and writer, co-creator of the Django web framework and creator of Datasette, who blogs extensively about LLMs and AI tools"
dario_amodei,Dario Amodei,Anthropic,"the co-founder and CEO of an AI safety lab, previously VP of Research at OpenAI","the co-founder and CEO of Anthropic, previously VP of Research at OpenAI"
andrej_karpathy,Andrej Karpathy,nanoGPT,"a computer scientist and AI educator, founder of Eureka Labs, formerly a director at Tesla and a co-founder of OpenAI","a computer scientist and AI educator, author of the nanoGPT open-source project, founder of Eureka Labs, formerly a director at Tesla and a co-founder of OpenAI"
jiayi_weng,Jiayi Weng,Tianshou,"an engineer at OpenAI working on infrastructure, formerly a research engineer at Sea AI Lab and PhD student at Tsinghua University","an engineer at OpenAI working on infrastructure and the original author of the Tianshou reinforcement-learning library, formerly a research engineer at Sea AI Lab and PhD student at Tsinghua University"
tri_dao,Tri Dao,FlashAttention,"a researcher in efficient deep-learning systems, currently faculty at Princeton University and chief scientist at Together AI","a researcher in efficient deep-learning systems and the lead author of FlashAttention, currently faculty at Princeton University and chief scientist at Together AI"
lilian_weng,Lilian Weng,lilianweng.github.io,"a researcher formerly at OpenAI heading applied research and safety, known for writing an influential ML blog","a researcher formerly at OpenAI heading applied research and safety, known for writing the influential ML blog at lilianweng.github.io"
harrison_chase,Harrison Chase,LangChain,the co-founder and CEO of an open-source framework company for building applications with large language models,"the co-founder and CEO of LangChain, an open-source framework for building applications with large language models"
aman_sanger,Aman Sanger,Cursor,a co-founder of an AI-powered code editor company,"a co-founder of Cursor, an AI-powered code editor company"
demis_hassabis,Demis Hassabis,Google DeepMind,the co-founder and CEO of a major AI research lab now part of Google,the co-founder and CEO of Google DeepMind
mira_murati,Mira Murati,Thinking Machines Lab,"the founder of an AI research startup, formerly Chief Technology Officer of OpenAI","the founder of Thinking Machines Lab, formerly Chief Technology Officer of OpenAI"
aravind_srinivas,Aravind Srinivas,Perplexity,the co-founder and CEO of a company in AI search,"the co-founder and CEO of Perplexity, a company in AI search"
