entity_id,entity_name,model_id,is_refusal,coverage,accuracy,score,embedding_sim
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",claude-opus-4.6-think,1,0.000,0.000,0.000,0.441
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",gpt-5.3,1,0.000,0.000,0.000,0.441
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",gpt-5.4,0,0.500,1.000,0.500,0.899
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",claude-sonnet-4.6-think,0,0.000,0.000,0.000,0.869
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",deepseek-v3.2-think,1,0.000,0.000,0.000,0.399
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",deepseek-v4-pro-think,0,1.000,1.000,1.000,0.932
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",gpt-5.5-think,1,0.000,0.000,0.000,0.441
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",gemini-3.1-pro,0,1.000,1.000,1.000,0.788
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",gemini-2.5-pro-think,0,1.000,1.000,1.000,0.903
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",gemini-3-flash-think,0,1.000,1.000,1.000,0.829
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",llama-4-maverick,0,0.400,1.000,0.400,0.947
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",kimi-k2.6-think,0,0.700,1.000,0.700,0.949
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",deepseek-v4-flash-think,1,0.000,0.000,0.000,0.441
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",qwen3-32b-think,1,0.000,0.000,0.000,0.441
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",qwen3-8b-think,1,0.000,0.000,0.000,0.441
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",gemma-4-31b,0,0.600,1.000,0.600,0.925
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",mistral-small-24b,1,0.000,0.000,0.000,0.399
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",glm-4.7-think,1,0.000,0.000,0.000,0.441
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",llama-3.3-70b,0,0.700,1.000,0.700,0.954
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",phi-4,0,0.500,1.000,0.500,0.929
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",gemma-3-12b,0,0.800,1.000,0.800,0.929
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",gpt-oss-20b-think,1,0.000,0.000,0.000,0.441
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",qwen3-235b-a22b-think,0,0.000,0.000,0.000,0.862
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",minimax-m2.7-think,1,0.000,0.000,0.000,0.441
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",minimax-m3-think,1,0.000,0.000,0.000,0.441
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",nemotron-3-ultra-think,1,0.000,0.000,0.000,0.441
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",glm-5.1-think,1,0.000,0.000,0.000,0.441
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",claude-fable-5-think,0,0.000,0.000,0.000,0.902
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",glm-5.2-think,0,1.000,1.000,1.000,0.933
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",nemotron-3-nano-30b-think,0,0.900,0.700,0.630,0.953
noird_g_zhou_yichao_2010,"Zhou Yichao (周奕超)",gpt-5.3,1,0.000,0.000,0.000,0.425
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",kimi-k2.7-code-think,0,0.600,1.000,0.600,0.951
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",step-3.7-flash-think,0,0.500,1.000,0.500,0.935
noird_g_zhou_yichao_2010,"Zhou Yichao (周奕超)",gpt-5.4,0,0.400,1.000,0.400,0.855
noird_g_zhou_yichao_2010,"Zhou Yichao (周奕超)",claude-opus-4.6-think,1,0.000,0.000,0.000,0.425
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",llama-3.1-8b,0,0.000,0.000,0.000,0.845
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",qwen3.7-max-think,1,0.000,0.000,0.000,0.441
noird_g_zhou_yichao_2010,"Zhou Yichao (周奕超)",gpt-5.5-think,0,0.900,1.000,0.900,0.954
noird_g_zhou_yichao_2010,"Zhou Yichao (周奕超)",gemini-3.1-pro,1,0.000,0.000,0.000,0.388
noird_g_zhou_yichao_2010,"Zhou Yichao (周奕超)",claude-sonnet-4.6-think,0,0.000,0.000,0.000,0.914
noird_g_zhou_yichao_2010,"Zhou Yichao (周奕超)",deepseek-v4-pro-think,0,1.000,1.000,1.000,0.934
noird_g_zhou_yichao_2010,"Zhou Yichao (周奕超)",gemini-3-flash-think,0,1.000,1.000,1.000,0.843
noird_g_zhou_yichao_2010,"Zhou Yichao (周奕超)",kimi-k2.6-think,1,0.000,0.000,0.000,0.425
noird_g_zhou_yichao_2010,"Zhou Yichao (周奕超)",deepseek-v3.2-think,0,1.000,1.000,1.000,0.925
noird_g_song_fangrui_2010,"Song Fangrui (宋方睿)",gemma-3-4b,0,0.800,0.500,0.400,0.910
noird_g_zhou_yichao_2010,"Zhou Yichao (周奕超)",llama-3.3-70b,1,0.000,0.000,0.000,0.425
noird_g_zhou_yichao_2010,"Zhou Yichao (周奕超)",llama-4-maverick,0,0.800,1.000,0.800,0.912
noird_g_zhou_yichao_2010,"Zhou Yichao (周奕超)",qwen3-235b-a22b-think,1,0.000,0.000,0.000,0.425
noird_g_zhou_yichao_2010,"Zhou Yichao (周奕超)",glm-4.7-think,0,0.800,1.000,0.800,0.928
noird_g_zhou_yichao_2010,"Zhou Yichao (周奕超)",glm-5.1-think,0,0.800,1.000,0.800,0.957
noird_g_zhou_yichao_2010,"Zhou Yichao (周奕超)",gemini-2.5-pro-think,0,1.000,1.000,1.000,0.918
noird_g_zhou_yichao_2010,"Zhou Yichao (周奕超)",qwen3-32b-think,0,0.800,1.000,0.800,0.926
