entity_id,entity_name,model_id,is_refusal,coverage,accuracy,score,embedding_sim
gpt5_christina_kaplan,"Christina Kaplan",qwen3-235b-a22b-think,0,0.000,0.000,0.000,0.586
gpt5_christina_kaplan,"Christina Kaplan",gpt-5.3,1,0.000,0.000,0.000,0.513
gpt5_christina_kaplan,"Christina Kaplan",kimi-k2,0,0.000,0.000,0.000,0.597
gpt5_christina_kaplan,"Christina Kaplan",mistral-large,0,0.000,0.000,0.000,0.589
gpt5_christina_kaplan,"Christina Kaplan",glm-4-32b,0,0.000,0.000,0.000,0.601
gpt5_christina_kaplan,"Christina Kaplan",gemma-4-31b,1,0.000,0.000,0.000,0.513
gpt5_christina_kaplan,"Christina Kaplan",grok-4.20-think,0,0.000,0.000,0.000,0.608
gpt5_christina_kaplan,"Christina Kaplan",grok-4,0,0.000,0.000,0.000,0.589
gpt5_christina_kaplan,"Christina Kaplan",gemma-3-12b,1,0.000,0.000,0.000,0.513
gpt5_christina_kaplan,"Christina Kaplan",deepseek-v4-pro-think,1,0.000,0.000,0.000,0.513
gpt5_christina_kaplan,"Christina Kaplan",gpt-5.5-think,1,0.000,0.000,0.000,0.513
gpt5_christina_kaplan,"Christina Kaplan",deepseek-v4-flash-think,1,0.000,0.000,0.000,0.513
gpt5_christina_kaplan,"Christina Kaplan",minimax-m2.7-think,0,0.000,0.000,0.000,0.581
gpt5_christina_kaplan,"Christina Kaplan",ernie-4.5-300b-a47b,0,0.000,0.000,0.000,0.597
gpt5_christina_kaplan,"Christina Kaplan",mistral-medium-3.1,0,0.000,0.000,0.000,0.589
gpt5_christina_kaplan,"Christina Kaplan",qwen3-8b-think,0,0.000,0.000,0.000,0.592
gpt5_alexey_ivanov,"Alexey Ivanov",gpt-5.4,1,0.000,0.000,0.000,0.522
gpt5_christina_kaplan,"Christina Kaplan",llama-4-maverick,0,0.000,0.000,0.000,0.903
gpt5_christina_kaplan,"Christina Kaplan",llama-3.2-1b,0,0.000,0.000,0.000,0.582
gpt5_christina_kaplan,"Christina Kaplan",qwen3-32b-think,0,0.000,0.000,0.000,0.904
gpt5_alexey_ivanov,"Alexey Ivanov",gpt-5.3,1,0.000,0.000,0.000,0.522
gpt5_alexey_ivanov,"Alexey Ivanov",gpt-5.5-think,0,0.000,0.000,0.000,0.470
gpt5_christina_kaplan,"Christina Kaplan",ministral-3b,0,0.000,0.000,0.000,0.592
gpt5_christina_kaplan,"Christina Kaplan",llama-3.1-8b,0,0.000,0.000,0.000,0.803
gpt5_christina_kaplan,"Christina Kaplan",gpt-oss-20b-think,1,0.000,0.000,0.000,0.513
gpt5_christina_kaplan,"Christina Kaplan",gemini-3.1-pro,1,0.000,0.000,0.000,0.513
gpt5_christina_kaplan,"Christina Kaplan",gpt-5.4,0,0.700,1.000,0.700,0.920
gpt5_christina_kaplan,"Christina Kaplan",phi-4,0,0.000,0.000,0.000,0.835
gpt5_christina_kaplan,"Christina Kaplan",claude-opus-4.6-think,0,0.000,0.000,0.000,0.939
gpt5_alexey_ivanov,"Alexey Ivanov",grok-4.20-think,0,0.000,0.000,0.000,0.629
gpt5_christina_kaplan,"Christina Kaplan",kimi-k2.6-think,1,0.000,0.000,0.000,0.513
gpt5_alexey_ivanov,"Alexey Ivanov",grok-4,0,0.000,0.000,0.000,0.600
gpt5_christina_kaplan,"Christina Kaplan",glm-4.7-think,1,0.000,0.000,0.000,0.452
gpt5_alexey_ivanov,"Alexey Ivanov",claude-opus-4.6-think,1,0.000,0.000,0.000,0.522
