creator,cohort,total_attribution_mass,top_artifacts
Tianshou,reference_pilot,139,Tianshou(36); PyTorch(33); PPO(28)
François Chollet,mid_tier_oss_maintainer,126,Keras(37); Python(32); TensorFlow(30)
nanoGPT,reference_pilot,117,PyTorch(37); GPT-2(35); nanoGPT(29)
Jake VanderPlas,mid_tier_oss_maintainer,116,Python(37); NumPy(30); Pandas(22)
Travis Oliphant,mid_tier_oss_maintainer,113,NumPy(37); Python(37); SciPy(28)
Sasha Rush,mid_tier_oss_maintainer,98,PyTorch(35); JAX(34); Transformer(16)
LangChain,reference_pilot,93,LangChain(37); Python(20); JavaScript(13)
Simon Willison,reference_pilot,86,Django(37); Datasette(20); Python(18)
Martin Odersky,mid_tier_oss_maintainer,78,Scala(37); Java(35); Kotlin(3)
FlashAttention,reference_pilot,73,FlashAttention(37); PyTorch(14); Transformer(8)
Demis Hassabis,reference_pilot,68,AlphaGo(36); AlphaFold(28); Elixir(4)
vLLM,reference_pilot,67,vLLM(35); Qwen(5); FastAPI(4)
Soumith Chintala,mid_tier_oss_maintainer,58,PyTorch(36); Lua(6); Adam(6)
Phil Wadler,mid_tier_oss_maintainer,58,Haskell(36); Java(17); Scala(3)
ReAct,reference_pilot,55,ReAct(37); Chain-of-Thought(6); LangChain(5)
Dario Amodei,reference_pilot,49,Claude(25); Constitutional AI(12); GPT-2(11)
Tri Dao,reference_pilot,46,FlashAttention(25); Mamba(7); Transformer(5)
Fernando Perez,mid_tier_oss_maintainer,45,Python(33); Julia(8); SciPy(3)
Patrick von Platen,mid_tier_oss_maintainer,45,Diffusers(10); Stable Diffusion(8); Whisper(8)
Matthew Honnibal,mid_tier_oss_maintainer,44,Python(36); NLTK(3); Theano(1)
Stas Bekman,mid_tier_oss_maintainer,43,DeepSpeed(31); BLOOM(5); PyTorch(3)
Aravind Srinivas,reference_pilot,41,Perplexity(36); DALL-E(1); Convex(1)
Harrison Chase,reference_pilot,41,LangChain(37); JavaScript(2); Python(2)
Alexander M. Rush [Tech],cs_faculty,37,Transformer(17); OpenNMT(15); PyTorch(2)
Adam Cheyer,mid_tier_founder,37,Adam(37)
Doug Lea,mid_tier_oss_maintainer,37,Java(37)
Simon Peyton Jones,mid_tier_oss_maintainer,37,Haskell(37)
Daniel Spiewak,mid_tier_oss_maintainer,37,Scala(35); JavaScript(1); Java(1)
IKP (Incompressible Knowledge Probes),reference_pilot,37,IKP(21); GPT-4(6); Claude(6)
Aman Sanger,reference_pilot,36,Cursor(31); GPT-4(3); Replit(1)
