entity_id,entity_name,cohort,has_wikipedia,title_matched,qid,sitelinks,pageviews_30d,method,notes
imo_yanlin_zhao,Yanlin Zhao,imo_gold,0,,,0,0,search,no_candidate
imo_zhiwei_zheng,Zhiwei Zheng,imo_gold,0,,,0,0,search,no_candidate
imo_fan_zheng,Fan Zheng,imo_gold,0,List of women in mathematics,Q3244218,0,0,search,unconfirmed:name_mismatch:ov=0.00:hits=0:title='List of women in mathematics'
imo_hsinpo_wang,Hsin-Po Wang,imo_gold,0,,,0,0,search,no_candidate
imo_dongyi_wei,Dongyi Wei,imo_gold,1,Wei Dongyi,Q103272883,4,1063,search,"cohort+context:['mathematician', 'mathematical']+['mathematical']"
imo_sampson_wong,Sampson Wong,imo_gold,0,Effects of immigration to the United States,Q111956184,0,0,search,unconfirmed:name_mismatch:ov=0.00:hits=0:title='Effects of immigration to the United States'
imo_teodor_von_burg,Teodor von Burg,imo_gold,0,International Mathematical Olympiad,Q7983,0,0,search,unconfirmed:name_mismatch:ov=0.00:hits=0:title='International Mathematical Olympiad'
imo_bogdan_veklych,Bogdan Veklych,imo_gold,0,,,0,0,search,no_candidate
imo_umut_varolgunes,Umut Varolgüneş,imo_gold,0,,,0,0,search,no_candidate
imo_konstantin_tyshchuk,Konstantin Tyshchuk,imo_gold,0,,,0,0,search,no_candidate
imo_istvan_tomon,István Tomon,imo_gold,0,,,0,0,search,no_candidate
imo_artsiom_toyestseu,Artsiom Toyestseu,imo_gold,0,,,0,0,search,no_candidate
imo_motoki_takigiku,Motoki Takigiku,imo_gold,0,,,0,0,search,no_candidate
imo_makoto_soejima,Makoto Soejima,imo_gold,1,Makoto Soejima,Q110068128,2,678,exact,"context_match:['olympiad', 'japan', 'international']"
imo_xiaolin_danny_shi,Xiaolin (Danny) Shi,imo_gold,0,,,0,0,search,no_candidate
imo_nazar_serdyuk,Nazar Serdyuk,imo_gold,0,,,0,0,search,no_candidate
imo_vitaliy_senin,Vitaliy Senin,imo_gold,0,,,0,0,search,no_candidate
imo_suthee_ruangwises,Suthee Ruangwises,imo_gold,0,,,0,0,search,no_candidate
imo_lisa_sauermann,Lisa Sauermann,imo_gold,1,Lisa Sauermann,Q92362,11,1539,exact,"context_match:['olympiad', 'international', 'mathematical']"
imo_un_song_ri,Un Song Ri,imo_gold,0,List of You Quiz on the Block episodes,Q106694931,0,0,search,unconfirmed:name_mismatch:ov=0.00:hits=0:title='List of You Quiz on the Block episodes'
imo_elena_madalina_persu,Elena Mădălina Persu,imo_gold,0,,,0,0,search,no_candidate
imo_henrique_ponde_de_oliveira_pinto,Henrique Pondé de Oliveira Pinto,imo_gold,0,Language model benchmark,Q135269818,0,0,search,unconfirmed:name_mismatch:ov=0.20:hits=1:title='Language model benchmark'
imo_giovanni_paolini,Giovanni Paolini,imo_gold,0,,,0,0,search,no_candidate
imo_lyuboslav_nikolaev_panchev,Lyuboslav Nikolaev Panchev,imo_gold,0,,,0,0,search,no_candidate
imo_victor_omelyanenko,Victor Omelyanenko,imo_gold,0,Ukrainians in Russia,Q1977290,0,0,search,unconfirmed:name_mismatch:ov=0.00:hits=0:title='Ukrainians in Russia'
imo_akio_kishikawa,Akio Kishikawa,imo_gold,0,,,0,0,search,no_candidate
imo_yong_hyon_ri,Yong Hyon Ri,imo_gold,0,Ri Jong-yol,Q127349031,0,0,search,unconfirmed:name_mismatch:ov=0.33:hits=1:title='Ri Jong-yol'
imo_khashayar_khosravi,Khashayar Khosravi,imo_gold,0,,,0,0,search,no_candidate
imo_h_khng_duy,Hà Khương Duy,imo_gold,0,"High School for Gifted Students, VNU University of Science",Q10828960,0,0,search,"unconfirmed:name_mismatch:ov=0.00:hits=0:title='High School for Gifted Students, VNU University of Science'"
imo_tae_gu_kang,Tae Gu Kang,imo_gold,0,List of You Quiz on the Block episodes,Q106694931,0,0,search,unconfirmed:name_mismatch:ov=0.00:hits=0:title='List of You Quiz on the Block episodes'
imo_jong_chol_kim,Jong Chol Kim,imo_gold,0,Ri Jong-yol,Q127349031,0,0,search,unconfirmed:name_mismatch:ov=0.33:hits=1:title='Ri Jong-yol'
imo_jiaoyang_huang,Jiaoyang Huang,imo_gold,0,,,0,0,search,no_candidate
imo_kazuhiro_hosaka,Kazuhiro Hosaka,imo_gold,0,,,0,0,search,no_candidate
imo_shiro_imamura,Shiro Imamura,imo_gold,0,,,0,0,search,no_candidate
imo_hyun_sub_hwang,Hyun Sub Hwang,imo_gold,0,List of You Quiz on the Block episodes,Q106694931,0,0,search,unconfirmed:name_mismatch:ov=0.00:hits=0:title='List of You Quiz on the Block episodes'
imo_andrea_fogari,Andrea Fogari,imo_gold,0,,,0,0,search,no_candidate
imo_andrew_elvey_price,Andrew Elvey Price,imo_gold,0,,,0,0,search,no_candidate
imo_eric_larson,Eric Larson,imo_gold,0,Eric Larson,Q2437296,0,0,search_after_exact,unconfirmed:no_match:ov=1.00
imo_vladimir_bragin,Vladimir Bragin,imo_gold,0,,,0,0,search,no_candidate
imo_omer_cerrahoglu,Omer Cerrahoglu,imo_gold,1,Ömer Cerrahoğlu,Q4671518,3,543,exact,"context_match:['olympiad', 'romania', 'international']"
imo_phm_dc_hng,Phạm Đức Hùng,imo_gold,0,"High School for Gifted Students, VNU University of Science",Q10828960,0,0,search,"unconfirmed:name_mismatch:ov=0.00:hits=0:title='High School for Gifted Students, VNU University of Science'"
imo_marsel_matdinov,Marsel Matdinov,imo_gold,0,,,0,0,search,no_candidate
imo_bo_lin,Bo Lin,imo_gold,0,Language model benchmark,Q135269818,0,0,search,unconfirmed:name_mismatch:ov=0.00:hits=0:title='Language model benchmark'
imo_sang_hoon_lee,Sang Hoon Lee,imo_gold,0,List of You Quiz on the Block episodes,Q106694931,0,0,search,unconfirmed:name_mismatch:ov=0.00:hits=0:title='List of You Quiz on the Block episodes'
imo_john_berman,John Berman,imo_gold,0,John Berman,Q21170450,0,0,search_after_exact,unconfirmed:no_match:ov=1.00
imo_sureyya_emre_kurt,Süreyya Emre Kurt,imo_gold,0,,,0,0,search,no_candidate
imo_tak_wing_ching,Tak Wing Ching,imo_gold,0,List of International Mathematical Olympiad participants,Q6574325,0,0,search,unconfirmed:name_mismatch:ov=0.00:hits=0:title='List of International Mathematical Olympiad participants'
imo_min_zhang,Min Zhang,imo_gold,0,Language model benchmark,Q135269818,0,0,search,unconfirmed:name_mismatch:ov=0.00:hits=0:title='Language model benchmark'
imo_yikang_xiao,Yikang Xiao,imo_gold,0,Language model benchmark,Q135269818,0,0,search,unconfirmed:name_mismatch:ov=0.00:hits=0:title='Language model benchmark'
imo_martin_vodicka,Martin Vodička,imo_gold,0,,,0,0,search,no_candidate
imo_melih_ucer,Melih Üçer,imo_gold,0,,,0,0,search,no_candidate
imo_piotr_suwara,Piotr Suwara,imo_gold,0,,,0,0,search,no_candidate
imo_hunter_spink,Hunter Spink,imo_gold,0,,,0,0,search,no_candidate
imo_jun_su,Jun Su,imo_gold,0,Wenzhou people,Q27966721,0,0,search,unconfirmed:name_mismatch:ov=0.00:hits=0:title='Wenzhou people'
imo_kanat_satylkhanov,Kanat Satylkhanov,imo_gold,0,,,0,0,search,no_candidate
imo_sanghun_song,Sanghun Song,imo_gold,0,List of You Quiz on the Block episodes,Q106694931,0,0,search,unconfirmed:name_mismatch:ov=0.00:hits=0:title='List of You Quiz on the Block episodes'
imo_nipun_pitimanaaree,Nipun Pitimanaaree,imo_gold,0,International Mathematical Olympiad,Q7983,0,0,search,unconfirmed:name_mismatch:ov=0.00:hits=0:title='International Mathematical Olympiad'
imo_zipei_nie,Zipei Nie,imo_gold,0,,,0,0,search,no_candidate
imo_denis_ovchinnikov,Denis Ovchinnikov,imo_gold,0,List of Russian people,Q3242433,0,0,search,unconfirmed:name_mismatch:ov=0.00:hits=0:title='List of Russian people'
imo_evan_odorney,Evan O'Dorney,imo_gold,1,Evan O'Dorney,Q5415501,1,1211,exact,"context_match:['olympiad', 'international']"
imo_nguyn_ngc_trung,Nguyễn Ngọc Trung,imo_gold,0,"High School for Gifted Students, VNU University of Science",Q10828960,0,0,search,"unconfirmed:name_mismatch:ov=0.00:hits=0:title='High School for Gifted Students, VNU University of Science'"
imo_janos_nagy,János Nagy,imo_gold,0,Science and technology in Hungary,Q7433655,0,0,search,unconfirmed:name_mismatch:ov=0.00:hits=0:title='Science and technology in Hungary'
imo_donat_nagy,Donát Nagy,imo_gold,0,Science and technology in Hungary,Q7433655,0,0,search,unconfirmed:name_mismatch:ov=0.00:hits=0:title='Science and technology in Hungary'
imo_vasily_mokin,Vasily Mokin,imo_gold,0,,,0,0,search,no_candidate
imo_jialun_li,Jialun Li,imo_gold,0,,,0,0,search,no_candidate
imo_bumsoo_kim,Bumsoo Kim,imo_gold,0,,,0,0,search,no_candidate
imo_nursultan_khadjimuratov,Nursultan Khadjimuratov,imo_gold,0,,,0,0,search,no_candidate
imo_li_lai,Li Lai,imo_gold,0,Li Hongzhi,Q366373,0,0,search_after_exact,unconfirmed:name_mismatch:ov=0.50:hits=1:title='Li Hongzhi'
imo_szymon_kanonowicz,Szymon Kanonowicz,imo_gold,0,,,0,0,search,no_candidate
imo_junhwa_jung,Junhwa Jung,imo_gold,0,,,0,0,search,no_candidate
imo_stefan_adrian_ivanovici,Štefan Adrian Ivanovici,imo_gold,0,,,0,0,search,no_candidate
imo_shutaro_inoue,Shutaro Inoue,imo_gold,0,,,0,0,search,no_candidate
imo_shiangchih_hua,Shiang-Chih Hua,imo_gold,0,,,0,0,search,no_candidate
imo_xiaoyu_he,Xiaoyu He,imo_gold,0,,,0,0,search,no_candidate
imo_benjamin_gunby,Benjamin Gunby,imo_gold,0,,,0,0,search,no_candidate
imo_luca_ghidelli,Luca Ghidelli,imo_gold,0,,,0,0,search,no_candidate
imo_jose_gustavo_garcia_sulca,José Gustavo García Sulca,imo_gold,0,,,0,0,search,no_candidate
imo_mathias_bk_tejs_knudsen,Mathias Bæk Tejs Knudsen,imo_gold,0,,,0,0,search,no_candidate
imo_radu_bumbacea,Radu Bumbăcea,imo_gold,0,,,0,0,search,no_candidate
imo_aaron_wan_yau_chong,Aaron Wan Yau Chong,imo_gold,0,,,0,0,search,no_candidate
imo_felix_drxler,Felix Dräxler,imo_gold,0,,,0,0,search,no_candidate
imo_stanislav_erokhin,Stanislav Erokhin,imo_gold,0,,,0,0,search,no_candidate
imo_robin_cheng,Robin Cheng,imo_gold,0,List of women in mathematics,Q3244218,0,0,search,unconfirmed:name_mismatch:ov=0.00:hits=0:title='List of women in mathematics'
imo_george_arzeno,George Arzeno,imo_gold,0,,,0,0,search,no_candidate
imo_ariel_zylber,Ariel Zylber,imo_gold,0,,,0,0,search,no_candidate
imo_tianyou_zhou,Tianyou Zhou,imo_gold,0,,,0,0,search,no_candidate
imo_kensuke_yoshida,Kensuke Yoshida,imo_gold,0,,,0,0,search,no_candidate
imo_bowen_yao,Bowen Yao,imo_gold,0,List of Chinese Americans,Q1404347,0,0,search,unconfirmed:name_mismatch:ov=0.00:hits=0:title='List of Chinese Americans'
imo_wijit_yangjit,Wijit Yangjit,imo_gold,0,,,0,0,search,no_candidate
imo_mengxi_wu,Mengxi Wu,imo_gold,0,,,0,0,search,no_candidate
imo_georgios_vlachos,Georgios Vlachos,imo_gold,0,Georgios Vlachos,Q23725827,0,0,search_after_exact,unconfirmed:no_match:ov=1.00
imo_kyrylo_myliarchyk,Kyrylo Myliarchyk,imo_gold,0,,,0,0,search,no_candidate
imo_miguel_martins_dos_santos,Miguel Martins Dos Santos,imo_gold,0,Age of Discovery,Q133641,0,0,search,unconfirmed:name_mismatch:ov=0.00:hits=0:title='Age of Discovery'
imo_alexey_pakharev,Alexey Pakharev,imo_gold,0,,,0,0,search,no_candidate
imo_sung_gi_park,Sung Gi Park,imo_gold,0,List of You Quiz on the Block episodes,Q106694931,0,0,search,unconfirmed:name_mismatch:ov=0.00:hits=0:title='List of You Quiz on the Block episodes'
imo_mikhail_grigorev,Mikhail Grigorev,imo_gold,0,,,0,0,search,no_candidate
imo_zichao_long,Zichao Long,imo_gold,0,,,0,0,search,no_candidate
imo_david_yang,David Yang,imo_gold,0,David Yang,Q5241346,0,0,search_after_exact,unconfirmed:no_match:ov=1.00
imo_jun_jie_joseph_kuan,Jun Jie Joseph Kuan,imo_gold,0,,,0,0,search,no_candidate
imo_jeck_lim,Jeck Lim,imo_gold,0,International Mathematical Olympiad,Q7983,0,0,search,unconfirmed:name_mismatch:ov=0.00:hits=0:title='International Mathematical Olympiad'
imo_takuma_kitamura,Takuma Kitamura,imo_gold,0,,,0,0,search,no_candidate
imo_mitchell_lee,Mitchell Lee,imo_gold,0,List of women in mathematics,Q3244218,0,0,search,unconfirmed:name_mismatch:ov=0.00:hits=0:title='List of women in mathematics'
