creator_id,model_id,score_A,score_B,delta,is_refusal_A,is_refusal_B
simon_willison,claude-opus-4.6-think,0.9,0.8,-0.1,0,0
simon_willison,claude-sonnet-4.6-think,0.7,0.7,0.0,0,0
simon_willison,deepseek-v3.2-think,0.6,0.6,0.0,0,0
simon_willison,deepseek-v4-flash-think,0.6,0.9,0.3,0,0
simon_willison,deepseek-v4-pro-think,0.7,0.9,0.2,0,0
simon_willison,gemini-2.5-pro-think,0.7,0.7,0.0,0,0
simon_willison,gemini-3-flash-think,0.9,0.8,-0.1,0,0
simon_willison,gemini-3.1-pro,0.8,0.75,-0.05,0,0
simon_willison,gemma-3-12b,0.6,0.7,0.1,0,0
simon_willison,gemma-3-4b,0.5,0.49,-0.01,0,0
simon_willison,gemma-4-31b,0.6,0.6,0.0,0,0
simon_willison,glm-4.7-think,0.6,0.6,0.0,0,0
simon_willison,glm-5.1-think,0.7,0.8,0.1,0,0
simon_willison,gpt-5.3,0.7,0.85,0.15,0,0
simon_willison,gpt-5.4,0.8,0.7,-0.1,0,0
simon_willison,gpt-5.5-think,0.75,0.88,0.13,0,0
simon_willison,gpt-oss-20b-think,0.6,0.7,0.1,0,0
simon_willison,kimi-k2.6-think,0.9,0.8,-0.1,0,0
simon_willison,llama-3.1-8b,0.4,0.5,0.1,0,0
simon_willison,llama-3.3-70b,0.4,0.6,0.2,0,0
simon_willison,llama-4-maverick,0.4,0.6,0.2,0,0
simon_willison,mistral-small-24b,0.4,0.6,0.2,0,0
simon_willison,phi-4,0.5,0.6,0.1,0,0
simon_willison,qwen3-32b-think,0.2,0.6,0.4,0,0
simon_willison,qwen3.5-397b-a17b-think,0.8,0.8,0.0,0,0
dario_amodei,claude-opus-4.6-think,0.7,0.8,0.1,0,0
dario_amodei,claude-sonnet-4.6-think,0.8,0.8,0.0,0,0
dario_amodei,deepseek-v3.2-think,0.7,0.7,0.0,0,0
dario_amodei,deepseek-v4-flash-think,0.8,0.7,-0.1,0,0
dario_amodei,deepseek-v4-pro-think,0.85,0.63,-0.22,0,0
dario_amodei,gemini-2.5-pro-think,0.75,0.8,0.05,0,0
dario_amodei,gemini-3-flash-think,0.8,0.8,0.0,0,0
dario_amodei,gemini-3.1-pro,0.9,0.8,-0.1,0,0
