entity_id,model_id,n_obs,mean,sigma
imo_bogdan_veklych,gpt-5.3,4,0.0000,0.0000
imo_bogdan_veklych,gpt-5.4,4,0.5000,0.2915
imo_bogdan_veklych,grok-4.20-think,4,0.0000,0.0000
imo_bogdan_veklych,gemini-3-flash-think,4,0.5250,0.0350
imo_bogdan_veklych,claude-opus-4.6-think,4,0.9000,0.1225
imo_bogdan_veklych,kimi-k2,4,0.0000,0.0000
imo_bogdan_veklych,gpt-5.5-think,4,0.4500,0.2693
imo_bogdan_veklych,claude-sonnet-4.6-think,4,0.3000,0.3082
imo_bogdan_veklych,glm-4-32b,4,0.0000,0.0000
imo_bogdan_veklych,kimi-k2.6-think,4,0.0000,0.0000
imo_bogdan_veklych,gemini-3.1-pro,4,0.2200,0.2474
imo_bogdan_veklych,qwen3-235b-a22b-think,4,0.0000,0.0000
imo_bogdan_veklych,llama-4-maverick,4,0.6500,0.2291
imo_bogdan_veklych,mistral-large,4,0.0000,0.0000
imo_bogdan_veklych,mistral-medium-3.1,4,0.0000,0.0000
imo_bogdan_veklych,gemini-2.5-pro-think,4,0.5800,0.2566
imo_bogdan_veklych,grok-4,4,0.1750,0.3031
imo_bogdan_veklych,deepseek-v4-flash-think,4,0.6500,0.2291
imo_bogdan_veklych,llama-3.3-70b,4,0.5500,0.0500
imo_bogdan_veklych,gemma-4-31b,4,0.3825,0.0801
imo_bogdan_veklych,phi-4,4,0.5400,0.2163
imo_bogdan_veklych,llama-3.1-8b,4,0.3000,0.3000
imo_bogdan_veklych,llama-3.2-1b,4,0.1250,0.2165
imo_bogdan_veklych,mistral-small-24b,4,0.2750,0.2773
imo_bogdan_veklych,qwen3-8b-think,4,0.0000,0.0000
imo_bogdan_veklych,qwen3-32b-think,4,0.0000,0.0000
imo_bogdan_veklych,glm-5.1-think,4,0.0000,0.0000
imo_bogdan_veklych,deepseek-v4-pro-think,4,0.8225,0.2086
imo_bogdan_veklych,ernie-4.5-300b-a47b,4,0.2000,0.3464
imo_bogdan_veklych,minimax-m2.7-think,4,0.0000,0.0000
imo_bogdan_veklych,ministral-3b,4,0.0700,0.1212
imo_bogdan_veklych,gpt-oss-20b-think,4,0.0000,0.0000
imo_bogdan_veklych,deepseek-v3.2-think,4,0.5162,0.1247
imo_bogdan_veklych,glm-4.7-think,4,0.2600,0.2404
imo_bogdan_veklych,gemma-3-12b,4,0.5625,0.2103
imo_bogdan_veklych,gemma-3-4b,4,0.3200,0.2657
imo_bogdan_veklych,qwen3.5-397b-a17b-think,4,0.0100,0.0173
imo_sureyya_emre_kurt,gpt-5.4,4,0.1250,0.2165
imo_sureyya_emre_kurt,gpt-5.3,4,0.0000,0.0000
imo_sureyya_emre_kurt,kimi-k2,4,0.0000,0.0000
imo_sureyya_emre_kurt,grok-4.20-think,4,0.0000,0.0000
imo_sureyya_emre_kurt,gemini-3-flash-think,4,0.9000,0.1732
imo_sureyya_emre_kurt,claude-sonnet-4.6-think,4,0.6250,0.3897
imo_sureyya_emre_kurt,gemini-3.1-pro,4,0.1750,0.3031
imo_sureyya_emre_kurt,grok-4,4,0.0000,0.0000
imo_sureyya_emre_kurt,llama-4-maverick,4,0.7250,0.1639
imo_sureyya_emre_kurt,claude-opus-4.6-think,4,0.4750,0.4763
imo_sureyya_emre_kurt,gpt-5.5-think,4,0.4750,0.2861
imo_sureyya_emre_kurt,gemini-2.5-pro-think,4,0.6500,0.3841
imo_sureyya_emre_kurt,glm-4-32b,4,0.1250,0.2165
imo_sureyya_emre_kurt,mistral-medium-3.1,4,0.0000,0.0000
imo_sureyya_emre_kurt,mistral-large,4,0.1750,0.3031
imo_sureyya_emre_kurt,qwen3-235b-a22b-think,4,0.0000,0.0000
imo_sureyya_emre_kurt,mistral-small-24b,4,0.2500,0.2598
imo_sureyya_emre_kurt,qwen3-32b-think,4,0.0000,0.0000
imo_sureyya_emre_kurt,phi-4,4,0.5975,0.1597
imo_sureyya_emre_kurt,llama-3.3-70b,4,0.4500,0.0500
imo_sureyya_emre_kurt,llama-3.1-8b,4,0.3000,0.1732
imo_sureyya_emre_kurt,llama-3.2-1b,4,0.1000,0.1732
imo_sureyya_emre_kurt,deepseek-v3.2-think,4,0.8750,0.2165
imo_sureyya_emre_kurt,qwen3-8b-think,4,0.0000,0.0000
imo_sureyya_emre_kurt,ernie-4.5-300b-a47b,4,0.1750,0.3031
imo_sureyya_emre_kurt,glm-5.1-think,4,0.5375,0.3765
imo_sureyya_emre_kurt,gemma-4-31b,4,0.5150,0.2933
imo_sureyya_emre_kurt,deepseek-v4-flash-think,4,1.0000,0.0000
imo_sureyya_emre_kurt,gpt-oss-20b-think,4,0.0700,0.1212
imo_sureyya_emre_kurt,gemma-3-4b,4,0.0700,0.1212
imo_sureyya_emre_kurt,ministral-3b,4,0.0400,0.0693
imo_sureyya_emre_kurt,kimi-k2.6-think,4,0.1500,0.2598
imo_sureyya_emre_kurt,glm-4.7-think,4,0.0575,0.0832
imo_sureyya_emre_kurt,deepseek-v4-pro-think,4,0.9500,0.0866
imo_sureyya_emre_kurt,gemma-3-12b,4,0.6100,0.2520
